nL,nR,nB,N,rL,rR,gL,gR,initial_visit,first_visit,after_first_visit,μL,μR,t,act
8.0,8.0,13.0,29.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,2
8.0,12.0,13.0,33.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.42857143,1.0,2
8.0,13.0,13.0,34.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4,2.0,2
8.0,17.0,13.0,38.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.47368422,3.0,2
8.0,20.0,13.0,41.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45454547,4.0,2
8.0,24.0,13.0,45.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.46153846,5.0,2
8.0,26.0,13.0,47.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.42857143,6.0,2
8.0,27.0,13.0,48.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.41379312,7.0,2
8.0,32.0,13.0,53.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.38235295,8.0,2
8.0,32.0,13.0,53.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.2,0.38235295,0.0,1
13.0,32.0,13.0,58.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.13333334,0.38235295,1.0,1
18.0,32.0,13.0,63.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.15,0.38235295,2.0,1
22.0,32.0,13.0,67.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.125,0.38235295,3.0,1
25.0,32.0,13.0,70.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.11111111,0.38235295,4.0,1
25.0,32.0,13.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.037037037,0.029411765,5.0,3
13.0,8.0,16.0,37.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53333336,0.5,0.0,1
16.0,8.0,16.0,40.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1
20.0,8.0,16.0,44.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.59090906,0.5,2.0,1
25.0,8.0,16.0,49.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5555556,0.5,3.0,1
30.0,8.0,16.0,54.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53125,0.5,4.0,1
31.0,8.0,16.0,55.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5151515,0.5,5.0,1
13.0,8.0,16.0,37.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06666667,0.5,6.0,4
11.0,12.0,8.0,31.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6923077,0.5,0.0,1
12.0,12.0,8.0,32.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.64285713,0.5,1.0,1
14.0,12.0,8.0,34.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.625,0.5,2.0,1
15.0,12.0,8.0,35.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.64705884,0.5,3.0,1
19.0,12.0,8.0,39.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.71428573,0.5,4.0,1
22.0,12.0,8.0,42.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.5,5.0,1
26.0,12.0,8.0,46.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6785714,0.5,6.0,1
27.0,12.0,8.0,47.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6896552,0.5,7.0,1
32.0,12.0,8.0,52.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6764706,0.5,8.0,1
34.0,12.0,8.0,54.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6666667,0.5,9.0,1
11.0,12.0,8.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07692308,0.5,10.0,4
12.0,8.0,12.0,32.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6,0.0,2
12.0,9.0,12.0,33.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6363636,1.0,2
12.0,12.0,12.0,36.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5714286,2.0,2
12.0,17.0,12.0,41.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.47368422,3.0,2
12.0,19.0,12.0,43.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.47619048,4.0,2
12.0,20.0,12.0,44.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45454547,5.0,2
12.0,21.0,12.0,45.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4347826,6.0,2
12.0,21.0,12.0,45.0,4.0,9.0,1.0,0.0,0.0,0.0,1.0,0.35714287,0.4347826,0.0,1
17.0,21.0,12.0,50.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.31578946,0.4347826,1.0,1
20.0,21.0,12.0,53.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.27272728,0.4347826,2.0,1
25.0,21.0,12.0,58.0,6.0,9.0,1.0,0.0,0.0,0.0,1.0,0.25925925,0.4347826,3.0,1
30.0,21.0,12.0,63.0,6.0,9.0,1.0,0.0,0.0,0.0,1.0,0.21875,0.4347826,4.0,1
30.0,21.0,12.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03125,0.04347826,5.0,3
7.0,12.0,16.0,35.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.5,0.35714287,0.0,2
7.0,16.0,16.0,39.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.33333334,1.0,2
7.0,17.0,16.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.31578946,2.0,2
7.0,22.0,16.0,45.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.5,0.29166666,3.0,2
7.0,27.0,16.0,50.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.3448276,4.0,2
7.0,29.0,16.0,52.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.5,0.3548387,5.0,2
7.0,34.0,16.0,57.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.3611111,6.0,2
7.0,36.0,16.0,59.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.34210527,7.0,2
7.0,40.0,16.0,63.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.5,0.35714287,8.0,2
7.0,44.0,16.0,67.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.5,0.32608697,9.0,2
7.0,44.0,16.0,67.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.44444445,0.32608697,0.0,1
8.0,44.0,16.0,68.0,4.0,14.0,1.0,0.0,0.0,0.0,1.0,0.5,0.32608697,1.0,1
13.0,44.0,16.0,73.0,8.0,14.0,1.0,0.0,0.0,0.0,1.0,0.6,0.32608697,2.0,1
17.0,44.0,16.0,77.0,12.0,14.0,1.0,0.0,0.0,0.0,1.0,0.68421054,0.32608697,3.0,1
20.0,44.0,16.0,80.0,13.0,14.0,1.0,0.0,0.0,0.0,1.0,0.6363636,0.32608697,4.0,1
24.0,44.0,16.0,84.0,16.0,14.0,1.0,0.0,0.0,0.0,1.0,0.65384614,0.32608697,5.0,1
29.0,44.0,16.0,89.0,21.0,14.0,1.0,0.0,0.0,0.0,1.0,0.7096774,0.32608697,6.0,1
32.0,44.0,16.0,92.0,22.0,14.0,1.0,0.0,0.0,0.0,1.0,0.6764706,0.32608697,7.0,1
33.0,44.0,16.0,93.0,22.0,14.0,1.0,0.0,0.0,0.0,1.0,0.6571429,0.32608697,8.0,1
33.0,44.0,16.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.028571429,0.02173913,9.0,4
11.0,10.0,14.0,35.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.61538464,0.5,0.0,1
15.0,10.0,14.0,39.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7058824,0.5,1.0,1
17.0,10.0,14.0,41.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7368421,0.5,2.0,1
20.0,10.0,14.0,44.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.72727275,0.5,3.0,1
22.0,10.0,14.0,46.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.5,4.0,1
24.0,10.0,14.0,48.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7692308,0.5,5.0,1
26.0,10.0,14.0,50.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.78571427,0.5,6.0,1
29.0,10.0,14.0,53.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8064516,0.5,7.0,1
33.0,10.0,14.0,57.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.82857144,0.5,8.0,1
33.0,10.0,14.0,57.0,28.0,8.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.75,0.0,2
33.0,13.0,14.0,60.0,28.0,11.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.8,1.0,2
33.0,17.0,14.0,64.0,28.0,15.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.84210527,2.0,2
33.0,21.0,14.0,68.0,28.0,18.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.82608694,3.0,2
33.0,22.0,14.0,69.0,28.0,18.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.7916667,4.0,2
33.0,24.0,14.0,71.0,28.0,20.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.8076923,5.0,2
33.0,29.0,14.0,76.0,28.0,25.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.83870965,6.0,2
33.0,33.0,14.0,80.0,28.0,29.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.85714287,7.0,2
33.0,37.0,14.0,84.0,28.0,33.0,0.0,1.0,0.0,0.0,1.0,0.82857144,0.8717949,8.0,2
33.0,37.0,14.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.028571429,0.025641026,9.0,3
14.0,15.0,18.0,47.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.5,0.29411766,0.0,2
14.0,19.0,18.0,51.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.5,0.33333334,1.0,2
14.0,20.0,18.0,52.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.5,0.36363637,2.0,2
14.0,23.0,18.0,55.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.36,3.0,2
14.0,24.0,18.0,56.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.34615386,4.0,2
14.0,28.0,18.0,60.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4,5.0,2
14.0,33.0,18.0,65.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.37142858,6.0,2
14.0,38.0,18.0,70.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.5,0.375,7.0,2
14.0,41.0,18.0,73.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.5,0.39534885,8.0,2
14.0,43.0,18.0,75.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.5,0.37777779,9.0,2
14.0,45.0,18.0,77.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.5,0.3617021,10.0,2
14.0,45.0,18.0,77.0,6.0,16.0,1.0,0.0,0.0,0.0,1.0,0.4375,0.3617021,0.0,1
15.0,45.0,18.0,78.0,6.0,16.0,1.0,0.0,0.0,0.0,1.0,0.4117647,0.3617021,1.0,1
16.0,45.0,18.0,79.0,6.0,16.0,1.0,0.0,0.0,0.0,1.0,0.3888889,0.3617021,2.0,1
20.0,45.0,18.0,83.0,8.0,16.0,1.0,0.0,0.0,0.0,1.0,0.4090909,0.3617021,3.0,1
25.0,45.0,18.0,88.0,9.0,16.0,1.0,0.0,0.0,0.0,1.0,0.37037036,0.3617021,4.0,1
30.0,45.0,18.0,93.0,10.0,16.0,1.0,0.0,0.0,0.0,1.0,0.34375,0.3617021,5.0,1
35.0,45.0,18.0,98.0,11.0,16.0,1.0,0.0,0.0,0.0,1.0,0.3243243,0.3617021,6.0,1
36.0,45.0,18.0,99.0,11.0,16.0,1.0,0.0,0.0,0.0,1.0,0.31578946,0.3617021,7.0,1
39.0,45.0,18.0,102.0,12.0,16.0,1.0,0.0,0.0,0.0,1.0,0.31707317,0.3617021,8.0,1
43.0,45.0,18.0,106.0,14.0,16.0,1.0,0.0,0.0,0.0,1.0,0.33333334,0.3617021,9.0,1
44.0,45.0,18.0,107.0,14.0,16.0,1.0,0.0,0.0,0.0,1.0,0.32608697,0.3617021,10.0,1
44.0,45.0,18.0,107.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02173913,0.021276595,11.0,3
12.0,11.0,10.0,33.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.46153846,0.0,2
12.0,12.0,10.0,34.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,2
12.0,14.0,10.0,36.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,2.0,2
12.0,18.0,10.0,40.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45,3.0,2
12.0,22.0,10.0,44.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,4.0,2
12.0,23.0,10.0,45.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.48,5.0,2
12.0,24.0,10.0,46.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,6.0,2
12.0,25.0,10.0,47.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4814815,7.0,2
12.0,29.0,10.0,51.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4516129,8.0,2
12.0,34.0,10.0,56.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4722222,9.0,2
12.0,39.0,10.0,61.0,0.0,18.0,0.0,1.0,0.0,1.0,0.0,0.5,0.46341464,10.0,2
12.0,43.0,10.0,65.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4888889,11.0,2
12.0,47.0,10.0,69.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,0.5,0.46938777,12.0,2
12.0,48.0,10.0,70.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.5,0.48,13.0,2
12.0,49.0,10.0,71.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.5,0.47058824,14.0,2
12.0,52.0,10.0,74.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,15.0,2
12.0,56.0,10.0,78.0,0.0,30.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5344828,16.0,2
12.0,61.0,10.0,83.0,0.0,30.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4920635,17.0,2
12.0,62.0,10.0,84.0,0.0,31.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,18.0,2
12.0,62.0,10.0,84.0,5.0,31.0,1.0,0.0,0.0,0.0,1.0,0.42857143,0.5,0.0,1
13.0,62.0,10.0,85.0,6.0,31.0,1.0,0.0,0.0,0.0,1.0,0.46666667,0.5,1.0,1
15.0,62.0,10.0,87.0,7.0,31.0,1.0,0.0,0.0,0.0,1.0,0.47058824,0.5,2.0,1
20.0,62.0,10.0,92.0,11.0,31.0,1.0,0.0,0.0,0.0,1.0,0.54545456,0.5,3.0,1
22.0,62.0,10.0,94.0,12.0,31.0,1.0,0.0,0.0,0.0,1.0,0.5416667,0.5,4.0,1
25.0,62.0,10.0,97.0,14.0,31.0,1.0,0.0,0.0,0.0,1.0,0.5555556,0.5,5.0,1
26.0,62.0,10.0,98.0,15.0,31.0,1.0,0.0,0.0,0.0,1.0,0.5714286,0.5,6.0,1
31.0,62.0,10.0,103.0,17.0,31.0,1.0,0.0,0.0,0.0,1.0,0.54545456,0.5,7.0,1
34.0,62.0,10.0,106.0,19.0,31.0,1.0,0.0,0.0,0.0,1.0,0.5555556,0.5,8.0,1
35.0,62.0,10.0,107.0,20.0,31.0,1.0,0.0,0.0,0.0,1.0,0.5675676,0.5,9.0,1
38.0,62.0,10.0,110.0,21.0,31.0,1.0,0.0,0.0,0.0,1.0,0.55,0.5,10.0,1
40.0,62.0,10.0,112.0,22.0,31.0,1.0,0.0,0.0,0.0,1.0,0.54761904,0.5,11.0,1
40.0,62.0,10.0,112.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.023809524,0.015625,12.0,4
12.0,18.0,14.0,44.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.5,0.55,0.0,2
12.0,22.0,14.0,48.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5833333,1.0,2
12.0,26.0,14.0,52.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.5,0.60714287,2.0,2
12.0,30.0,14.0,56.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5625,3.0,2
12.0,33.0,14.0,59.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5714286,4.0,2
12.0,34.0,14.0,60.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5833333,5.0,2
12.0,36.0,14.0,62.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6052632,6.0,2
12.0,38.0,14.0,64.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,0.5,0.575,7.0,2
12.0,43.0,14.0,69.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5777778,8.0,2
12.0,45.0,14.0,71.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5744681,9.0,2
12.0,45.0,14.0,71.0,4.0,26.0,1.0,0.0,0.0,0.0,1.0,0.35714287,0.5744681,0.0,1
17.0,45.0,14.0,76.0,8.0,26.0,1.0,0.0,0.0,0.0,1.0,0.47368422,0.5744681,1.0,1
18.0,45.0,14.0,77.0,9.0,26.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5744681,2.0,1
23.0,45.0,14.0,82.0,11.0,26.0,1.0,0.0,0.0,0.0,1.0,0.48,0.5744681,3.0,1
28.0,45.0,14.0,87.0,14.0,26.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5744681,4.0,1
28.0,45.0,14.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.033333335,0.021276595,5.0,3
14.0,6.0,8.0,28.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3125,0.5,0.0,1
18.0,6.0,8.0,32.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.5,1.0,1
22.0,6.0,8.0,36.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29166666,0.5,2.0,1
25.0,6.0,8.0,39.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25925925,0.5,3.0,1
30.0,6.0,8.0,44.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5,4.0,1
35.0,6.0,8.0,49.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.24324325,0.5,5.0,1
37.0,6.0,8.0,51.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25641027,0.5,6.0,1
40.0,6.0,8.0,54.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.26190478,0.5,7.0,1
42.0,6.0,8.0,56.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5,8.0,1
45.0,6.0,8.0,59.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27659574,0.5,9.0,1
50.0,6.0,8.0,64.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5,10.0,1
54.0,6.0,8.0,68.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.26785713,0.5,11.0,1
57.0,6.0,8.0,71.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27118644,0.5,12.0,1
59.0,6.0,8.0,73.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29508197,0.5,13.0,1
63.0,6.0,8.0,77.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.30769232,0.5,14.0,1
66.0,6.0,8.0,80.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.32352942,0.5,15.0,1
70.0,6.0,8.0,84.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33333334,0.5,16.0,1
71.0,6.0,8.0,85.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.34246576,0.5,17.0,1
75.0,6.0,8.0,89.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.32467532,0.5,18.0,1
79.0,6.0,8.0,93.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33333334,0.5,19.0,1
84.0,6.0,8.0,98.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3372093,0.5,20.0,1
87.0,6.0,8.0,101.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3258427,0.5,21.0,1
87.0,6.0,8.0,101.0,28.0,2.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.375,0.0,2
87.0,11.0,8.0,106.0,28.0,4.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.3846154,1.0,2
87.0,15.0,8.0,110.0,28.0,5.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.3529412,2.0,2
87.0,18.0,8.0,113.0,28.0,5.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.3,3.0,2
87.0,23.0,8.0,118.0,28.0,6.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.28,4.0,2
87.0,25.0,8.0,120.0,28.0,7.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.2962963,5.0,2
87.0,29.0,8.0,124.0,28.0,8.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.29032257,6.0,2
87.0,30.0,8.0,125.0,28.0,9.0,0.0,1.0,0.0,0.0,1.0,0.3258427,0.3125,7.0,2
87.0,30.0,8.0,125.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.011235955,0.03125,8.0,4
8.0,6.0,16.0,30.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.5,0.0,1
8.0,6.0,16.0,30.0,8.0,4.0,0.0,1.0,0.0,0.0,1.0,0.9,0.625,0.0,2
8.0,10.0,16.0,34.0,8.0,7.0,0.0,1.0,0.0,0.0,1.0,0.9,0.6666667,1.0,2
8.0,11.0,16.0,35.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,0.9,0.6923077,2.0,2
8.0,13.0,16.0,37.0,8.0,9.0,0.0,1.0,0.0,0.0,1.0,0.9,0.6666667,3.0,2
8.0,18.0,16.0,42.0,8.0,13.0,0.0,1.0,0.0,0.0,1.0,0.9,0.7,4.0,2
8.0,23.0,16.0,47.0,8.0,17.0,0.0,1.0,0.0,0.0,1.0,0.9,0.72,5.0,2
8.0,26.0,16.0,50.0,8.0,19.0,0.0,1.0,0.0,0.0,1.0,0.9,0.71428573,6.0,2
8.0,27.0,16.0,51.0,8.0,20.0,0.0,1.0,0.0,0.0,1.0,0.9,0.7241379,7.0,2
8.0,29.0,16.0,53.0,8.0,22.0,0.0,1.0,0.0,0.0,1.0,0.9,0.7419355,8.0,2
8.0,33.0,16.0,57.0,8.0,24.0,0.0,1.0,0.0,0.0,1.0,0.9,0.71428573,9.0,2
8.0,34.0,16.0,58.0,8.0,24.0,0.0,1.0,0.0,0.0,1.0,0.9,0.6944444,10.0,2
8.0,35.0,16.0,59.0,8.0,25.0,0.0,1.0,0.0,0.0,1.0,0.9,0.7027027,11.0,2
8.0,35.0,16.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.027027028,12.0,3
16.0,16.0,10.0,42.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.7222222,0.0,2
16.0,18.0,10.0,44.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.65,1.0,2
16.0,23.0,10.0,49.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.5,0.64,2.0,2
16.0,28.0,10.0,54.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6666667,3.0,2
16.0,32.0,10.0,58.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,0.5,0.64705884,4.0,2
16.0,36.0,10.0,62.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6315789,5.0,2
16.0,41.0,10.0,67.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.5,0.60465115,6.0,2
16.0,42.0,10.0,68.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.5,0.59090906,7.0,2
16.0,44.0,10.0,70.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5869565,8.0,2
16.0,48.0,10.0,74.0,0.0,27.0,0.0,1.0,0.0,1.0,0.0,0.5,0.56,9.0,2
16.0,53.0,10.0,79.0,0.0,30.0,0.0,1.0,0.0,1.0,0.0,0.5,0.56363636,10.0,2
16.0,54.0,10.0,80.0,0.0,30.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5535714,11.0,2
16.0,58.0,10.0,84.0,0.0,32.0,0.0,1.0,0.0,1.0,0.0,0.5,0.55,12.0,2
16.0,58.0,10.0,84.0,12.0,32.0,1.0,0.0,0.0,0.0,1.0,0.7222222,0.55,0.0,1
19.0,58.0,10.0,87.0,15.0,32.0,1.0,0.0,0.0,0.0,1.0,0.7619048,0.55,1.0,1
23.0,58.0,10.0,91.0,19.0,32.0,1.0,0.0,0.0,0.0,1.0,0.8,0.55,2.0,1
28.0,58.0,10.0,96.0,24.0,32.0,1.0,0.0,0.0,0.0,1.0,0.8333333,0.55,3.0,1
30.0,58.0,10.0,98.0,26.0,32.0,1.0,0.0,0.0,0.0,1.0,0.84375,0.55,4.0,1
33.0,58.0,10.0,101.0,28.0,32.0,1.0,0.0,0.0,0.0,1.0,0.82857144,0.55,5.0,1
34.0,58.0,10.0,102.0,29.0,32.0,1.0,0.0,0.0,0.0,1.0,0.8333333,0.55,6.0,1
36.0,58.0,10.0,104.0,30.0,32.0,1.0,0.0,0.0,0.0,1.0,0.81578946,0.55,7.0,1
36.0,58.0,10.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02631579,0.016666668,8.0,4
11.0,12.0,17.0,40.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.71428573,0.0,2
11.0,14.0,17.0,42.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.625,1.0,2
11.0,18.0,17.0,46.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6,2.0,2
11.0,23.0,17.0,51.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.5,0.56,3.0,2
11.0,28.0,17.0,56.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.5,0.53333336,4.0,2
11.0,33.0,17.0,61.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45714286,5.0,2
11.0,37.0,17.0,65.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.5,0.41025642,6.0,2
11.0,42.0,17.0,70.0,0.0,19.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45454547,7.0,2
11.0,47.0,17.0,75.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.5,0.42857143,8.0,2
